id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
358963,358964,9E,4288,MKE,CVG,2,945,85,0
326857,326858,EV,5372,DCA,JAN,7,1185,164,0
493180,493181,AS,453,LAX,SEA,3,645,162,0
467158,467159,DL,2917,CVG,SAN,1,1225,284,0
341616,341617,DL,1856,MIA,JFK,1,995,188,0
54701,54702,WN,341,AUS,DEN,6,390,140,0
456949,456950,AA,1574,LAS,DFW,1,685,155,0
135448,135449,WN,3056,MHT,BWI,3,1140,95,0
85847,85848,DL,2568,SEA,ATL,1,370,284,0
419042,419043,DL,2864,MCO,MEM,6,450,134,0
459479,459480,MQ,4430,RDU,DCA,1,815,55,0
84232,84233,AA,372,SJU,TPA,7,1245,180,0
310121,310122,CO,450,EWR,AUS,6,1212,262,0
461444,461445,OO,6388,DEN,ABQ,1,919,70,0
427155,427156,HA,26,HNL,PDX,6,940,325,0
215412,215413,FL,1007,RSW,BOS,1,840,175,0
198013,198014,WN,3110,SAN,OAK,7,880,85,0
132152,132153,US,1427,CLT,ATL,3,965,76,0
107587,107588,MQ,4298,ORD,MLI,2,570,55,0
477377,477378,AS,305,SFO,SEA,2,785,128,0
188155,188156,XE,2691,EWR,BWI,6,1310,62,0
338364,338365,F9,328,MKE,BOS,1,822,133,0
226083,226084,MQ,4285,ORD,CLT,2,470,115,0
366426,366427,AA,2042,DFW,FLL,3,385,150,0
225108,225109,EV,5267,CAK,ATL,2,420,129,0
199235,199236,DL,1722,DTW,BOS,7,945,122,0
289427,289428,OO,6408,EUG,SFO,5,989,87,0
56361,56362,MQ,4354,ORD,AZO,6,495,50,0
338414,338415,F9,727,DCA,DEN,1,825,237,0
228709,228710,FL,310,ATL,CLT,2,610,71,0
124057,124058,US,1856,MCO,CLT,3,525,96,0
286308,286309,OO,6863,DEN,GJT,5,824,53,0
303294,303295,US,1712,CLT,DCA,6,785,74,0
171576,171577,UA,277,MCO,LAX,5,1144,331,0
463062,463063,MQ,4055,ORD,BNA,1,1005,90,0
465031,465032,FL,729,MKE,DFW,1,1103,150,0
355339,355340,WN,1686,MHT,PHL,2,750,100,0
67677,67678,MQ,3603,MIA,CHS,6,1275,100,0
75467,75468,MQ,3369,DFW,DSM,7,760,115,0
517607,517608,MQ,3528,MKE,DFW,4,955,160,0
272651,272652,9E,3810,DSM,DTW,4,1070,114,0
196016,196017,AA,1277,BWI,DFW,7,775,220,0
314506,314507,US,86,PHX,PDX,7,525,172,0
244356,244357,OO,6215,DEN,OKC,3,520,90,0
227051,227052,DL,749,SLC,SAN,2,520,120,0
267724,267725,UA,806,LAX,SFO,4,811,88,0
436768,436769,US,542,PHX,DFW,7,595,145,0
31350,31351,YV,2973,SFO,LAS,4,1045,87,0
210379,210380,MQ,3977,ORD,CID,1,580,65,0
315273,315274,EV,5057,MEM,LIT,7,570,56,0
176555,176556,WN,3114,OAK,BUR,6,485,65,0
387500,387501,FL,812,BOS,BWI,4,510,95,0
191187,191188,EV,5491,ATL,SGF,7,515,123,0
34832,34833,WN,625,PHX,DEN,4,1255,110,0
446554,446555,MQ,4517,LGA,CRW,7,1110,110,0
456617,456618,XE,2592,EWR,IND,1,665,136,0
53225,53226,DL,1895,ATL,IAH,5,1290,133,0
214109,214110,DL,2460,ATL,ROC,1,772,128,0
454819,454820,AS,321,SJC,SEA,1,575,125,0
181093,181094,CO,1461,CLE,MCO,6,745,137,0
3125,3126,DL,2714,SEA,MSP,3,500,199,0
299671,299672,DL,1024,ATL,RSW,6,585,113,0
247418,247419,WN,1414,MSY,PHX,3,685,215,0
501181,501182,9E,4236,BOS,JFK,3,1060,122,0
363581,363582,EV,5451,MEM,MOB,2,1185,75,0
416740,416741,MQ,3135,SJC,LAX,5,1195,75,0
143091,143092,EV,5088,ATL,HSV,4,600,67,0
74036,74037,YV,2888,TUS,PHX,7,685,51,0
452015,452016,MQ,3298,DFW,HOU,1,430,65,0
487604,487605,WN,3328,MSP,STL,3,360,105,0
102647,102648,OO,6453,LAX,PHX,1,1290,72,0
323494,323495,EV,7101,IAD,SAV,7,1010,107,0
175346,175347,AS,660,SEA,DFW,6,420,230,0
138078,138079,DL,1985,DAY,ATL,4,350,114,0
59208,59209,DL,2330,MSP,MEM,6,660,125,0
84978,84979,AA,1410,DFW,TUL,7,1340,55,0
170615,170616,CO,1792,EWR,MCO,5,1090,182,0
357127,357128,FL,936,ATL,JAX,2,846,68,0
34018,34019,OO,4562,SLC,COS,4,1190,97,0
385317,385318,MQ,3025,LAX,SAN,4,400,45,0
453062,453063,UA,323,PHL,DEN,1,482,271,0
49004,49005,MQ,4320,OKC,ORD,5,1025,135,0
209458,209459,FL,709,ATL,DAY,1,530,87,0
469704,469705,MQ,4503,CMH,JFK,2,390,105,0
34872,34873,FL,123,ATL,TPA,4,1260,88,0
23522,23523,WN,996,TUS,LAS,4,635,80,0
336957,336958,WN,37,ELP,DAL,1,745,95,0
243020,243021,WN,375,PHX,SAN,3,450,70,0
489143,489144,EV,5048,CAE,ATL,3,435,89,0
62370,62371,WN,1829,SAT,LAS,6,840,180,0
63819,63820,US,1183,BWI,CLT,6,935,88,0
226428,226429,MQ,2953,AMA,DFW,2,490,70,0
178702,178703,EV,5472,ECP,ATL,6,608,69,0
346964,346965,DL,1470,ATL,CLT,1,1365,68,0
248699,248700,OO,6432,DEN,AUS,3,754,128,0
263569,263570,DL,2048,DTW,LGA,4,600,108,0
54956,54957,DL,2069,RIC,ATL,6,415,125,0
15081,15082,EV,5101,ATL,ILM,3,1140,88,0
257794,257795,UA,815,DEN,LAX,3,1285,157,0
223678,223679,MQ,3781,LIT,ORD,2,350,105,0
21212,21213,9E,3721,DTW,DAY,4,520,60,0
212855,212856,US,1079,DCA,JAX,1,705,123,0
335339,335340,US,1170,MSY,CLT,1,665,106,0
126451,126452,B6,339,IAD,MCO,3,660,135,0
530676,530677,EV,5166,SHV,MEM,5,695,66,0
230558,230559,B6,621,JFK,HOU,2,710,244,0
55934,55935,US,1584,CLT,PVD,6,470,115,0
461203,461204,OO,4599,SLC,SFO,1,905,137,0
367057,367058,AS,347,OAK,SEA,3,420,120,0
104270,104271,YV,2816,FAT,PHX,2,390,96,0
426316,426317,MQ,3648,CVG,MIA,6,890,160,0
2539,2540,WN,3070,PHL,MHT,3,465,75,0
76067,76068,AS,76,JNU,SEA,7,795,134,0
496764,496765,FL,572,PHX,MKE,3,830,194,0
417689,417690,AA,1406,OMA,DFW,6,360,125,0
64318,64319,EV,5060,ATL,CHS,6,970,72,0
144399,144400,OO,3097,OMA,MKE,4,667,81,0
80677,80678,EV,7338,TLH,MEM,7,1040,96,0
17550,17551,EV,5199,ATL,CHA,3,1372,40,0
77635,77636,DL,2736,MEM,LGA,7,880,160,0
201328,201329,XE,2562,IAH,DAL,7,1050,61,0
29028,29029,MQ,4365,HSV,ORD,4,925,130,0
236676,236677,EV,5213,CHA,ATL,2,1043,52,0
429632,429633,FL,78,FLL,ATL,6,1098,122,0
283218,283219,AA,1788,DFW,RDU,5,665,145,0
534753,534754,DL,1534,ATL,RIC,5,925,92,0
134091,134092,DL,2916,AUS,MSP,3,1065,161,0
310667,310668,MQ,3035,LAX,SBA,6,1290,40,0
402005,402006,EV,5180,DTW,ALB,4,1305,96,0
467028,467029,B6,141,JFK,RSW,1,1215,193,0
34763,34764,B6,337,IAD,MCO,4,1250,133,0
110638,110639,CO,1504,TPA,CLE,2,735,140,0
20528,20529,DL,2119,LGA,MSP,4,485,192,0
379877,379878,AA,541,DFW,ELP,3,1075,105,0
731,732,DL,1762,BNA,DTW,3,375,126,0
180470,180471,9E,3921,IAH,MEM,6,710,105,0
126754,126755,OO,4461,SNA,SLC,3,674,106,0
461409,461410,WN,523,SMF,LAS,1,915,80,0
147401,147402,OO,6615,GTF,DEN,4,824,112,0
334581,334582,WN,2117,TPA,MHT,1,625,175,0
28202,28203,AA,1499,DFW,SJC,4,885,230,0
26983,26984,DL,2492,STL,ATL,4,819,98,0
428837,428838,OH,6756,JFK,CVG,6,1045,166,0
340440,340441,YV,2990,ABQ,PHX,1,930,76,0
96728,96729,DL,2934,MSP,DTW,1,930,104,0
427306,427307,CO,201,EWR,FLL,6,950,186,0
183878,183879,FL,1260,FLL,LEX,6,916,128,0
24267,24268,WN,529,SAN,OAK,4,675,85,0
150446,150447,WN,1533,DEN,ABQ,4,985,70,0
189345,189346,AA,393,DFW,DEN,7,405,125,0
235913,235914,YV,2916,PSP,PHX,2,1000,83,0
330756,330757,WN,618,PVD,BWI,1,430,90,0
24507,24508,9E,4261,MSP,GFK,4,690,70,0
205438,205439,B6,22,JFK,SYR,7,1365,69,0
106260,106261,UA,205,BOS,IAD,2,500,107,0
316956,316957,OO,4839,ABQ,SLC,7,660,115,0
397973,397974,EV,5267,ATL,TRI,4,1050,62,0
386048,386049,AA,444,SAT,ORD,4,435,165,0
314314,314315,OO,6981,DEN,CPR,7,517,57,0
528909,528910,EV,5414,DTW,ORF,5,605,115,0
457312,457313,OO,4461,SNA,SLC,1,700,109,0
21177,21178,WN,1259,BNA,SAT,4,515,155,0
107050,107051,CO,175,SNA,HNL,2,540,345,0
119162,119163,OO,4885,SLC,TUL,2,1205,143,0
135511,135512,DL,2829,ATL,SEA,3,1145,336,0
146147,146148,MQ,2952,DFW,SAV,4,755,135,0
111118,111119,WN,497,BWI,RDU,2,760,65,0
291115,291116,FL,1033,RSW,PIT,5,1074,150,0
524574,524575,XE,3085,DSM,IAH,5,360,154,0
260627,260628,DL,2127,ATL,FLL,4,450,110,0
212819,212820,AA,1543,DFW,SAT,1,705,65,0
387098,387099,OO,6323,ORD,OKC,4,489,130,0
202433,202434,WN,169,OMA,MDW,7,1110,85,0
172159,172160,AA,1183,IAD,DFW,5,1175,205,0
349811,349812,US,481,PHL,DEN,2,470,264,0
189916,189917,OO,4482,CLE,CVG,7,440,65,0
479227,479228,FL,1202,RSW,MDW,2,882,180,0
195301,195302,9E,4244,DTW,AZO,7,735,53,0
202551,202552,B6,589,HPN,FLL,7,1120,179,0
97823,97824,DL,1390,LGA,BOS,1,990,76,0
496840,496841,DL,1862,DTW,PHL,3,835,102,0
176303,176304,EV,4984,DCA,BOS,6,475,95,0
311861,311862,OO,6955,SLC,DEN,7,370,93,0
126087,126088,WN,327,LAS,SEA,3,635,165,0
24567,24568,UA,53,JFK,LAX,4,690,375,0
97059,97060,AA,1900,SNA,DFW,1,950,170,0
34409,34410,WN,1180,ABQ,DAL,4,1215,90,0
146345,146346,FL,229,MIA,BWI,4,767,145,0
223486,223487,AA,1230,SEA,DFW,1,1410,215,0
225821,225822,OO,6472,LAX,ABQ,2,455,109,0
397622,397623,AA,1262,SNA,ORD,4,1035,225,0
110859,110860,US,625,ABQ,PHX,2,745,77,0
231319,231320,DL,2288,ATL,BOS,2,750,153,0
174970,174971,FL,806,BOS,BWI,6,390,90,0
105951,105952,OO,6651,LAX,RNO,2,481,85,0
404715,404716,OH,6450,MCI,CVG,5,455,109,0
410932,410933,WN,2310,BWI,PVD,5,785,70,0
175898,175899,DL,1800,JAX,ATL,6,450,90,0
398659,398660,AA,1314,MSY,MIA,4,1085,110,0
72093,72094,US,1996,SJU,PHL,7,585,238,0
506383,506384,EV,5364,MGM,MEM,4,375,79,0
245300,245301,EV,5136,ATL,VPS,3,572,78,0
429054,429055,9E,3801,CLE,MEM,6,1056,134,0
517436,517437,AA,522,PDX,DFW,4,945,215,0
405319,405320,B6,553,EWR,RSW,5,489,195,0
124240,124241,OO,6895,LIT,DEN,3,535,156,0
227356,227357,FL,295,ATL,HOU,2,535,139,0
345868,345869,FL,937,JAX,ATL,1,1225,70,0
144487,144488,XE,2002,LFT,IAH,4,670,75,0
523066,523067,US,550,DFW,PHX,4,1259,160,0
117282,117283,WN,3846,DTW,STL,2,1095,105,0
40024,40025,WN,778,OMA,LAS,5,555,190,0
374007,374008,EV,5461,TUL,ATL,3,770,109,0
532037,532038,US,1990,MYR,CLT,5,770,64,0
450383,450384,EV,7085,CAE,IAD,1,360,83,0
482259,482260,AA,1206,PHX,ORD,2,1040,200,0
68074,68075,B6,739,JFK,PSE,6,1439,223,0
193094,193095,AA,1216,DFW,TPA,7,620,140,0
356392,356393,DL,1456,ATL,BUF,2,810,121,0
501639,501640,WN,3071,MDW,DEN,3,1080,170,0
324118,324119,DL,1548,DTW,LGA,7,1040,112,0
174836,174837,UA,484,SAN,DEN,6,380,149,0
229131,229132,FL,953,FLL,BWI,2,631,145,0
507782,507783,AA,1038,DFW,MSP,4,445,140,0
47604,47605,FL,1155,RSW,IND,5,955,150,0
439280,439281,MQ,3044,LAX,DEN,7,725,140,0
386704,386705,UA,72,HNL,SFO,4,469,320,0
61191,61192,WN,1928,SLC,ABQ,6,770,85,0
418219,418220,9E,3886,TYS,ATL,6,390,67,0
155338,155339,UA,593,DEN,SNA,4,1276,144,0
77448,77449,DL,1920,MEM,MCO,7,870,120,0
426465,426466,9E,3905,ATL,SBN,6,900,115,0
39480,39481,WN,3505,PIT,PHL,5,525,80,0
232894,232895,OO,6611,PHX,DEN,2,837,102,0
328255,328256,9E,3804,DTW,ABE,7,1305,94,0
470475,470476,WN,2986,PHX,LAS,2,425,65,0
107662,107663,CO,345,CLE,IAH,2,575,186,0
106617,106618,WN,545,ONT,SMF,2,515,80,0
206464,206465,XE,2208,MCI,EWR,1,380,157,0
117359,117360,US,980,CLT,MYR,2,1100,59,0
172903,172904,OO,4635,SLC,SJC,5,1220,114,0
239648,239649,AA,1790,STL,DCA,2,1215,105,0
104788,104789,US,2117,BOS,LGA,2,420,82,0
184390,184391,YV,2818,PHX,DSM,6,950,167,0
157776,157777,OO,4852,MSP,MCI,5,425,95,0
452437,452438,US,327,LAX,LAS,1,450,63,0
249443,249444,US,1242,PHX,DCA,3,795,249,0
64162,64163,MQ,3330,SGF,DFW,6,960,85,0
63131,63132,WN,1996,LAX,LAS,6,890,65,0
445936,445937,UA,465,TPA,DEN,7,1078,252,0
461018,461019,DL,141,JFK,MIA,1,898,207,0
477947,477948,UA,735,OKC,DEN,2,812,106,0
75266,75267,AA,669,CLT,DFW,7,750,175,0
304879,304880,OO,6678,MRY,SFO,6,879,37,0
180,181,HA,202,HNL,ITO,3,355,49,0
68608,68609,DL,2570,LAX,SLC,7,375,119,0
531087,531088,XE,2981,BTR,IAH,5,718,70,0
86270,86271,MQ,3322,GSO,DFW,1,390,200,0
340958,340959,US,1557,PHL,FLL,1,960,171,0
119837,119838,HA,595,OGG,HNL,2,1275,33,0
463428,463429,YV,2614,AUS,CLT,1,1020,157,0
199607,199608,WN,1182,PHX,SAN,7,965,70,0
50384,50385,FL,93,ATL,RDU,5,1095,80,0
387589,387590,AA,1543,BNA,DFW,4,515,130,0
415437,415438,CO,1645,CLE,IAH,5,1070,190,0
133524,133525,F9,351,PHF,DEN,3,1038,233,0
175720,175721,WN,2284,TUS,LAS,6,435,75,0
274397,274398,OH,6544,BUF,JFK,4,1160,108,0
27928,27929,DL,2644,SAN,MSP,4,870,216,0
261895,261896,OO,6504,OTH,SFO,4,513,117,0
227755,227756,OO,6992,CLD,LAX,2,557,40,0
419030,419031,DL,1545,DCA,DTW,6,450,103,0
132675,132676,WN,938,PHX,LAX,3,990,80,0
142376,142377,XE,2908,IAH,AMA,4,564,99,0
6391,6392,OO,7029,SLC,SFO,3,671,143,0
62733,62734,FL,1588,MCO,BKG,6,869,147,0
420314,420315,CO,191,MIA,IAH,6,530,174,0
148449,148450,OO,6395,BNA,ORD,4,880,105,0
306865,306866,AA,743,DFW,LAX,6,995,205,0
377483,377484,XE,2260,EWR,CVG,3,950,134,0
189732,189733,AA,1061,JFK,MIA,7,430,208,0
270038,270039,EV,5483,BOS,DCA,4,935,110,0
243820,243821,UA,425,IAD,SAT,3,495,239,0
204955,204956,XE,2131,IAH,CRP,7,1285,59,0
286869,286870,CO,1541,IAH,AUS,5,855,53,0
234940,234941,US,46,PHX,DCA,2,950,243,0
162221,162222,WN,521,DAL,STL,5,655,95,0
476978,476979,OO,6865,SBN,ORD,2,761,44,0
248082,248083,OH,6602,JAX,DCA,3,720,114,0
466361,466362,EV,5213,MEM,XNA,1,1175,72,0
539148,539149,EV,4968,ATL,FAY,5,1315,75,0
278968,278969,XE,3140,SAT,IAH,5,445,59,0
150308,150309,AA,1540,TUS,DFW,4,980,130,0
362108,362109,MQ,2947,FSM,DFW,2,1105,65,0
245557,245558,YV,7267,ORD,ATL,3,585,118,0
492122,492123,OO,4850,SLC,DFW,3,590,172,0
459910,459911,UA,312,TPA,IAD,1,838,136,0
488894,488895,YV,2681,CVG,CLT,3,420,86,0
422651,422652,OH,6384,CVG,LGA,6,675,120,0
335199,335200,DL,332,PBI,ATL,1,660,114,0
292675,292676,EV,7314,ATL,TRI,5,1155,67,0
104977,104978,OO,4672,BUR,SLC,2,430,114,0
260870,260871,US,1813,CLT,TPA,4,460,100,0
40139,40140,AA,1673,ATL,DFW,5,565,155,0
314845,314846,AA,2307,ORD,DFW,7,545,155,0
301113,301114,AA,40,LAX,JFK,6,665,330,0
123177,123178,WN,636,BWI,ISP,3,480,65,0
447167,447168,US,1196,SAN,PHX,7,1145,77,0
269046,269047,9E,4235,JFK,CLT,4,885,147,0
87938,87939,WN,3238,MDW,LGA,1,475,150,0
146318,146319,US,145,SNA,PHX,4,765,76,0
376970,376971,B6,1410,AUS,MCO,3,925,142,0
48183,48184,CO,1055,EWR,LAX,5,985,368,0
71678,71679,OO,6854,SFO,ACV,7,561,78,0
241467,241468,UA,732,SEA,ORD,3,370,242,0
245595,245596,DL,1991,ATL,TPA,3,590,100,0
298646,298647,EV,7092,ORD,ROC,6,525,95,0
423386,423387,US,10,CLT,ORD,6,715,130,0
80081,80082,DL,1654,ATL,DAY,7,1010,96,0
164363,164364,AA,373,DFW,SNA,5,765,195,0
104198,104199,MQ,4436,BNA,DCA,2,390,105,0
307930,307931,MQ,2757,DFW,XNA,6,1055,65,0
139226,139227,AA,452,MIA,BOS,4,405,180,0
90883,90884,AA,1650,TUS,DFW,1,625,130,0
439333,439334,EV,5566,EWN,ATL,7,728,106,0
357945,357946,US,1750,LAS,PHL,2,890,276,0
365045,365046,EV,5222,ATL,BTR,2,1315,104,0
157916,157917,AA,812,SEA,DFW,5,435,235,0
338314,338315,OO,4803,MEM,SLC,1,820,195,0
303596,303597,OO,6958,CWA,ORD,6,804,68,0
117176,117177,B6,250,LGB,OAK,2,1090,77,0
23874,23875,AA,2088,MIA,LGA,4,660,180,0
445767,445768,F9,376,DEN,MKE,7,1070,133,0
256884,256885,YV,2817,LAX,LAS,3,1195,64,0
223829,223830,EV,5564,ILM,ATL,2,360,88,0
86030,86031,9E,3684,PIT,JFK,1,380,106,0
110254,110255,MQ,2829,DFW,PNS,2,715,100,0
15507,15508,OH,6544,BUF,JFK,3,1160,108,0
401122,401123,OO,6415,LAS,LAX,4,1223,72,0
317511,317512,AA,2423,PBI,ORD,7,690,190,0
100402,100403,CO,1807,TPA,IAH,1,1126,144,0
180941,180942,OO,4441,FCA,SLC,6,735,95,0
310137,310138,DL,1729,JFK,LAS,6,1215,363,0
81045,81046,WN,1100,SDF,MDW,7,1055,75,0
137876,137877,US,1794,LAS,CLT,3,1385,238,0
129094,129095,MQ,3992,XNA,ORD,3,800,105,0
501105,501106,EV,5396,OKC,DTW,3,1055,142,0
62261,62262,WN,2150,BOS,PHX,6,835,365,0
405489,405490,UA,510,SFO,SEA,5,499,133,0
431290,431291,MQ,2969,DFW,ABI,6,1255,50,0
251260,251261,UA,354,SAN,DEN,3,894,141,0
235101,235102,MQ,4695,LGA,BOS,2,960,70,0
105566,105567,WN,480,MCO,MSY,2,460,110,0
65260,65261,9E,4125,CMH,MSP,6,1034,126,0
269994,269995,OO,6661,SFO,MOD,4,931,36,0
369636,369637,OO,6840,SFO,SBA,3,540,81,0
156408,156409,OO,7768,SGU,SLC,5,360,73,0
285422,285423,OO,6592,BZN,ORD,5,779,171,0
187635,187636,OO,4770,SLC,CPR,6,1200,70,0
154646,154647,9E,3968,JFK,ORD,4,1210,182,0
99791,99792,DL,1062,MCO,LAX,1,1090,346,0
105991,105992,HA,27,SEA,HNL,2,485,370,0
95679,95680,WN,102,SFO,SAN,1,875,85,0
205558,205559,DL,1768,LAX,MSP,1,30,220,0
324281,324282,EV,5457,ATL,TLH,7,1047,63,0
390400,390401,DL,1075,RDU,ATL,4,660,87,0
61687,61688,YV,2609,CLT,BNA,6,800,90,0
29345,29346,FL,907,PHF,ATL,4,943,112,0
270498,270499,OH,6599,STL,CVG,4,960,72,0
40992,40993,OO,6542,DEN,DRO,5,606,64,0
529450,529451,US,2028,DCA,BOS,5,630,79,0
97518,97519,9E,4330,RDU,JFK,1,975,120,0
139299,139300,YV,2648,PHX,LAS,4,405,68,0
32509,32510,DL,1623,BOS,DTW,4,1108,147,0
343178,343179,YV,2946,TUS,PHX,1,1070,51,0
313701,313702,DL,2426,FLL,ATL,7,485,124,0
164259,164260,YV,1037,ITO,HNL,5,755,47,0
38440,38441,CO,393,MCO,EWR,5,480,151,0
314600,314601,WN,1499,MDW,STL,7,530,70,0
110180,110181,MQ,4281,ORD,EVV,2,710,65,0
127094,127095,OH,6497,BNA,MEM,3,690,69,0
76756,76757,OO,4586,SLC,OMA,7,830,144,0
28317,28318,9E,4292,LWB,JFK,4,890,110,0
461493,461494,OO,4843,SLC,HLN,1,920,90,0
273985,273986,US,2047,BOS,DCA,4,1140,96,0
451086,451087,WN,2790,CMH,BWI,1,385,70,0
19954,19955,MQ,4236,MEM,ORD,4,455,120,0
134459,134460,OO,6585,CWA,ORD,3,1082,68,0
367983,367984,B6,407,BOS,PHX,3,460,347,0
524226,524227,MQ,3332,LBB,DFW,5,350,70,0
195107,195108,9E,3733,ATL,IAH,7,725,140,0
34558,34559,DL,2918,MCO,ATL,4,1230,96,0
415545,415546,FL,636,DAY,BWI,5,1076,84,0
87998,87999,CO,659,DCA,IAH,1,480,208,0
140138,140139,DL,2291,ATL,TPA,4,450,87,0
85471,85472,DL,1401,BOS,ATL,1,360,190,0
123713,123714,OH,6280,EVV,CVG,3,510,54,0
28554,28555,F9,261,SNA,DEN,4,900,136,0
418615,418616,EV,5298,ECP,ATL,6,420,84,0
3366,3367,US,1494,MIA,CLT,3,510,127,0
105276,105277,AA,549,FLL,ORD,2,450,195,0
224803,224804,AA,452,MIA,BOS,2,405,180,0
198275,198276,B6,1114,MCO,RIC,7,895,106,0
213231,213232,AA,874,LAX,ORD,1,725,245,0
383325,383326,AA,2160,MIA,ATL,3,1295,120,0
386441,386442,9E,3959,DTW,MDW,4,455,90,0
321361,321362,MQ,3390,HOU,DFW,7,895,70,0
413059,413060,DL,2485,DAB,ATL,5,910,90,0
66834,66835,WN,1512,ABQ,DAL,6,1155,90,0
103622,103623,WN,3061,LGA,MDW,2,360,150,0
200573,200574,OO,6699,DEN,ELP,7,1017,102,0
216571,216572,US,2179,LGA,DCA,1,900,78,0
97620,97621,DL,1938,ATL,DCA,1,980,106,0
533419,533420,OO,6984,LAX,CLD,5,849,41,0
204437,204438,DL,2918,MCO,ATL,7,1230,96,0
267371,267372,AA,2058,DFW,SJU,4,795,265,0
